Mass (kg),TAS (kts),CL,CD
37000,420,0.3303308337608617,0.022255619929592695
37500,330,0.5423121796163354,0.029469997506248593
37500,340,0.5108805913513748,0.028178960166161685
37500,350,0.4821044600834199,0.027064563706860705
37500,360,0.45569287314983753,0.0260985837909426
37500,370,0.43139369145521506,0.025257920164066933
37500,380,0.4089875094197987,0.024523560531594987
37500,390,0.3882826848140627,0.023879774289730253
37500,400,0.36911122725136836,0.02331348082523744
37500,410,0.3513253798942232,0.022813751379754988
37500,420,0.3347947639468193,0.02237141382468205
38000,330,0.5495430086778865,0.029777903217083
38000,340,0.5176923325693931,0.028452208696844422
38000,350,0.48853251955119875,0.02730789688370265
38000,360,0.46176877812516864,0.026315985773597235
38000,370,0.43714560734128455,0.02545275499869344
38000,380,0.41444067621206265,0.024698681889865355
38000,390,0.39345978727825015,0.024037613563996786
38000,400,0.37403271028138657,0.023456118266057147
38000,410,0.3560097182928128,0.02294297386123819
38000,420,0.3392586941327769,0.022488762000242406
38500,330,0.5567738377394377,0.030089887149252963
38500,340,0.5245040737874114,0.028729076413364023
38500,350,0.4949605790189777,0.027554453016529264
38500,360,0.4678446831004998,0.026536267252710875
38500,370,0.4428975232273541,0.02565017042715606
38500,380,0.4198938430043267,0.02487612273632474
38500,390,0.39863688974243766,0.024197543424677448
38500,400,0.3789541933114048,0.023600644944503604
38500,410,0.3606940566914025,0.023073907898767523
38500,420,0.34372262431873446,0.022607664456273754
39000,330,0.5640046668009888,0.03040594930275848
39000,340,0.5313158150054297,0.029009563315720473
39000,350,0.5013886384867566,0.027804232105340537
39000,360,0.47392058807583104,0.02675942822828352
39000,370,0.44864943911342364,0.025850166449454794
39000,380,0.4253470097965907,0.025055883070973138
39000,390,0.4038139922066252,0.024359563871772242
39000,400,0.38387567634142306,0.02374706086057681
39000,410,0.3653783950899921,0.023206553492342994
39000,420,0.34818655450469205,0.022728121192776105
39500,330,0.57123549586254,0.030726089677599554
39500,340,0.5381275562234481,0.02929366940391379
39500,350,0.5078166979545357,0.028057234150136473
39500,360,0.4799964930511622,0.02698546870031516
39500,370,0.4544013549994932,0.02605274306558964
39500,380,0.43080017658885467,0.025237962893810546
39500,390,0.40899109467081274,0.024523674905281158
39500,400,0.3887971593714413,0.023895366014276775
39500,410,0.37006273348858176,0.023340910641964602
39500,420,0.35265048469064963,0.022850132209749453
40000,330,0.5784663249240911,0.03105030827377618
40000,340,0.5449392974414664,0.02958139467794396
40000,350,0.5142447574223146,0.02831345915091707
40000,360,0.4860723980264934,0.027214388668805805
40000,370,0.46015327088556274,0.0262579002755606
40000,380,0.43625334338111865,0.025422362204836964
40000,390,0.41416819713500025,0.0246898765252042
40000,400,0.3937186424014596,0.02404556040560349
40000,410,0.37474707188717143,0.02347697934763234
40000,420,0.3571144148766073,0.022973697507193802
40500,330,0.5856971539856421,0.031378605091288356
40500,340,0.5517510386594847,0.029872739137810987
40500,350,0.5206728168900934,0.028572907107682323
40500,360,0.4921483030018245,0.027446188133755448
40500,370,0.4659051867716322,0.02646563807936767
40500,380,0.4417065101733826,0.025609081004052393
40500,390,0.4193452995991877,0.024858168731541366
40500,400,0.39864012543147775,0.02419764403455695
40500,410,0.37943141028576105,0.02361475960934622
40500,420,0.3615783450625648,0.023098817085109143
41000,330,0.5929279830471933,0.031710980130136096
41000,340,0.558562779877503,0.03016770278351487
41000,350,0.5271008763578724,0.028835578020432247
41000,360,0.49822420797715566,0.027680867095164097
41000,370,0.4716571026577017,0.02667595647701085
41000,380,0.44715967696564657,0.025798119291456832
41000,390,0.4245224020633752,0.02502855152429266
41000,400,0.403561608461496,0.02435161690113716
41000,410,0.38411574868435067,0.02375425142710623
41000,420,0.3660422752485224,0.023225490943495485
41500,330,0.6001588121087444,0.03204743339031939
41500,340,0.5653745210955213,0.030466285615055613
41500,350,0.5335289358256513,0.029101471889166824
41500,360,0.5043001129524869,0.02791842555303175
41500,370,0.47740901854377127,0.02688885546849015
41500,380,0.4526128437579106,0.025989477067050286
41500,390,0.4296995045275627,0.02520102490345808
41500,400,0.4084830914915143,0.024507479005344127
41500,410,0.38880008708294034,0.023895454800912375
41500,420,0.37050620543448,0.023353719082352824
42000,330,0.6073896411702957,0.03238796487183824
42000,340,0.5721862623135398,0.030768487632433218
42000,350,0.5399569952934302,0.029370588713886068
42000,360,0.5103760179278181,0.028158863507358398
42000,370,0.4831609344298408,0.027104335053805557
42000,380,0.4580660105501746,0.02618315433083275
42000,390,0.43487660699175024,0.02537558886903763
42000,400,0.41340457452153256,0.024665230347177845
42000,410,0.39348442548153,0.02403836973076466
42000,420,0.37497013562043763,0.023483501501681166
42500,330,0.6146204702318468,0.03273257457469264
42500,340,0.5789980035315581,0.031074308835647674
42500,350,0.5463850547612092,0.029642928494589972
42500,360,0.5164519229031492,0.028402180958144056
42500,370,0.48891285031591036,0.027322395232957083
42500,380,0.4635191773424386,0.02637915108280423
42500,390,0.44005370945593775,0.025552243421031302
42500,400,0.4183260575515508,0.02482487092663831
42500,410,0.3981687638801196,0.024182996216663075
42500,420,0.3794340658063952,0.0236148382014805
43000,330,0.6218512992933979,0.033081262498882595
43000,340,0.5858097447495764,0.031383749224698984
43000,350,0.552813114228988,0.029918491231278533
43000,360,0.5225278278784803,0.028648377905388704
43000,370,0.49466476620197986,0.027543036005944717
43000,380,0.4689723441347025,0.026577467322964714
43000,390,0.4452308119201252,0.025730988559439102
43000,400,0.423247540581569,0.024986400743725528
43000,410,0.40285310227870924,0.024329334258607626
43000,420,0.38389799599235275,0.023747729181750832
43500,330,0.629082128354949,0.03343402864440811
43500,340,0.5926214859675947,0.03169680879958716
43500,350,0.5592411736967671,0.030197276923951764
43500,360,0.5286037328538115,0.028897454349092362
43500,370,0.5004166820880495,0.027766257372768464
43500,380,0.4744255109269665,0.026778103051314214
43500,390,0.4504079143843127,0.025911824284261028
43500,400,0.42816902361158726,0.0251498197984395
43500,410,0.4075374406772989,0.02447738385659831
43500,420,0.38836192617831033,0.023882174442492167
44000,330,0.6363129574165002,0.03379087301126918
44000,340,0.599433227185613,0.032013487560312186
44000,350,0.565669233164546,0.030479285572609652
44000,360,0.5346796378291427,0.029149410289255023
44000,370,0.506168597974119,0.027992059333428326
44000,380,0.4798786777192305,0.026981058267852725
44000,390,0.4555850168485002,0.026094750595497082
44000,400,0.43309050664160553,0.02531512809078022
44000,410,0.41222177907588853,0.024627145010635135
44000,420,0.392825856364268,0.024018173983704497
44500,330,0.6435437864780513,0.0341517955994658
44500,340,0.6062449684036314,0.03233378550687408
44500,350,0.5720972926323249,0.0307645171772522
44500,360,0.5407555428044739,0.029404245725876688
44500,370,0.5119205138601886,0.0282204418879243
44500,380,0.48533184451149447,0.027186332972580246
44500,390,0.46076211931268773,0.026279767493147258
44500,400,0.43801198967162375,0.02548232562074769
44500,410,0.4169061174744782,0.024778617720718092
44500,420,0.39728978655022557,0.024155727805387828
45000,330,0.6507746155396025,0.03451679640899798
45000,340,0.6130567096216497,0.032657702639272826
45000,350,0.5785253521001039,0.031052971737879416
45000,360,0.5468314477798051,0.029661960658957348
45000,370,0.517672429746258,0.028451405036256382
45000,380,0.4907850113037585,0.02739392716549678
45000,390,0.46593922177687525,0.026466874977211563
45000,400,0.442933472701642,0.025651412388341913
45000,410,0.42159045587306787,0.024931801986847184
45000,420,0.40175371673618315,0.024294835907542153
45500,330,0.6580054446011536,0.03488587543986571
45500,340,0.619868450839668,0.03298523895750843
45500,350,0.5849534115678827,0.031344649254491284
45500,360,0.5529073527551361,0.029922555088497005
45500,370,0.5234243456323275,0.02868494877842458
45500,380,0.49623817809602244,0.027603840846602327
45500,390,0.4711163242410627,0.026656073047689993
45500,400,0.44785495573166023,0.025822388393562885
45500,410,0.42627479427165743,0.02508669780902241
45500,420,0.4062176469221407,0.024435498290167477
46000,330,0.6652362736627048,0.035259032692068995
46000,340,0.6266801920576863,0.033316394461580884
46000,350,0.5913814710356617,0.03163954972708782
46000,360,0.5589832577304673,0.03018602901449567
46000,370,0.5291762615183971,0.028921073114428895
46000,380,0.5016913448882864,0.02781607401589688
46000,390,0.4762934267052502,0.026847361704582552
46000,400,0.4527764387616785,0.02599525363641061
46000,410,0.4309591326702471,0.025243305187243773
46000,420,0.41068157710809833,0.0245777149532638
46500,330,0.6724671027242559,0.035636268165607846
46500,340,0.6334919332757046,0.033651169151490204
